iter	MultiClass
0	1.545105129
1	1.476132546
2	1.427481549
3	1.387588499
4	1.335720921
5	1.298202527
6	1.264328006
7	1.230689648
8	1.204971631
9	1.179451923
10	1.152991993
11	1.128496181
12	1.109541057
13	1.085810941
14	1.065628919
15	1.050871695
16	1.031809698
17	1.016853557
18	0.9998427609
19	0.9807016133
20	0.96988936
21	0.9538323396
22	0.9409427774
23	0.9288842298
24	0.9165856336
25	0.9056951276
26	0.897835881
27	0.8899207612
28	0.8834623994
29	0.8746298622
30	0.8663298887
31	0.8593182699
32	0.8520364369
33	0.846055466
34	0.8404835453
35	0.8328172923
36	0.827833993
37	0.8212167707
38	0.8149676075
39	0.8095425249
40	0.8045657057
41	0.7981834925
42	0.7934300582
43	0.7865290277
44	0.7828963947
45	0.7789998984
46	0.7736459474
47	0.769262483
48	0.7660529092
49	0.7599058363
50	0.7570586998
51	0.7534681539
52	0.7495457724
53	0.746026269
54	0.7426009019
55	0.7395092301
56	0.734953804
57	0.7320366157
58	0.7276429153
59	0.7240490391
60	0.7207100283
61	0.7185495261
62	0.7157104078
63	0.712811157
64	0.710346175
65	0.7081674751
66	0.7059759515
67	0.7030165147
68	0.700324888
69	0.6978049964
70	0.6955210093
71	0.6928288245
72	0.690591216
73	0.6882832546
74	0.6851226859
75	0.6829883615
76	0.680907614
77	0.6791160758
78	0.676709421
79	0.6746304207
80	0.6726180955
81	0.6681844587
82	0.6664054688
83	0.6637881086
84	0.6613812146
85	0.6591940505
86	0.6568573414
87	0.6547995404
88	0.6527396266
89	0.6507021473
90	0.6479088895
91	0.6461630034
92	0.643771073
93	0.6422916329
94	0.6404407346
95	0.6379921991
96	0.6362757427
97	0.634826613
98	0.6324701087
99	0.6309774614
100	0.6289334997
101	0.6270689397
102	0.6260879114
103	0.6245640522
104	0.6232599764
105	0.6219605164
106	0.6208595259
107	0.6193969994
108	0.6182118701
109	0.616606316
110	0.6150108713
111	0.6124292854
112	0.6111445533
113	0.6096683044
114	0.6090858072
115	0.608174719
116	0.6065246519
117	0.6050992429
118	0.6039761437
119	0.6031131489
120	0.6026111286
121	0.6007803029
122	0.5995952627
123	0.5980505497
124	0.5962181009
125	0.5954143486
126	0.5940760823
127	0.5930065935
128	0.5919510828
129	0.5903780646
130	0.5889144473
131	0.5879157778
132	0.5865697428
133	0.5854469751
134	0.5842017108
135	0.5836584587
136	0.5821174695
137	0.5808645426
138	0.5797672015
139	0.5785425633
140	0.5769381816
141	0.5758069452
142	0.5739838904
143	0.5723688337
144	0.570872223
145	0.5697321163
146	0.5687402669
147	0.5676981719
148	0.5662294688
149	0.565562844
150	0.5649022057
151	0.5633744108
152	0.5627422593
153	0.5619778216
154	0.5611069074
155	0.5597080775
156	0.5587866358
157	0.5579407604
158	0.556608553
159	0.5545880538
160	0.5528826694
161	0.5518217407
162	0.5508579097
163	0.5495572204
164	0.5486190941
165	0.5478288767
166	0.5463263688
167	0.5454285648
168	0.5445773951
169	0.5425115061
170	0.5417246744
171	0.5409379487
172	0.5397941571
173	0.5392115415
174	0.5381932487
175	0.5371842019
176	0.535413562
177	0.5337085679
178	0.5322683171
179	0.5307878645
180	0.5304555743
181	0.529847179
182	0.528791039
183	0.5282433543
184	0.5266236776
185	0.5261182933
186	0.5253553451
187	0.5246441431
188	0.52407081
189	0.5234625395
190	0.5210844559
191	0.5201096585
192	0.5193569839
193	0.5187524751
194	0.5181421612
195	0.5168589246
196	0.5163134299
197	0.5152710622
198	0.5135742588
199	0.512738044
200	0.5121628998
201	0.5112745257
202	0.5104691091
203	0.509175615
204	0.5084100846
205	0.507551313
206	0.5061392516
207	0.505483653
208	0.5047671922
209	0.5040120052
210	0.5027926435
211	0.5017574458
212	0.5010514393
213	0.5000888847
214	0.4994535717
215	0.4985774094
216	0.4979610318
217	0.496589076
218	0.4950163603
219	0.4943844628
220	0.4941458663
221	0.4932821075
222	0.4924767238
223	0.491695556
224	0.4910690911
225	0.4907545406
226	0.4896397467
227	0.4888785657
228	0.4883276497
229	0.4874883076
230	0.4863760891
231	0.4855755854
232	0.4853950823
233	0.4843742877
234	0.4839364983
235	0.4831873045
236	0.4825837052
237	0.4818478061
238	0.4806739257
239	0.4802234709
240	0.4796090695
241	0.4792929551
242	0.4782554716
243	0.4767116946
244	0.475743755
245	0.4753033295
246	0.4742522986
247	0.4736361873
248	0.4727213262
249	0.4721469325
250	0.4719736477
251	0.4705441307
252	0.4702989281
253	0.4695212011
254	0.4689167438
255	0.468310005
256	0.4670750631
257	0.4662322615
258	0.4657026649
259	0.4649329758
260	0.4642494047
261	0.4640739381
262	0.4627614347
263	0.4623057802
264	0.4616743016
265	0.461299406
266	0.4607742028
267	0.4602962494
268	0.4598826758
269	0.4594926855
270	0.4588160561
271	0.4580203803
272	0.4575231742
273	0.4562167057
274	0.4554740878
275	0.455125414
276	0.4543152367
277	0.4534959916
278	0.4528840971
279	0.4520347736
280	0.4518810582
281	0.4515304802
282	0.4504050549
283	0.4496610497
284	0.4492473894
285	0.4488762043
286	0.4485839662
287	0.4475848487
288	0.4471302236
289	0.4465485858
290	0.4456192914
291	0.4448353821
292	0.4443925355
293	0.443692189
294	0.442352043
295	0.4415733604
296	0.4405273283
297	0.4400005994
298	0.4391115958
299	0.4387431631
300	0.438544703
301	0.4376320258
302	0.4369690048
303	0.4368489977
304	0.4362551424
305	0.4358180188
306	0.4352563923
307	0.4347691668
308	0.4341611742
309	0.4338250783
310	0.4328683359
311	0.4323543518
312	0.4315095177
313	0.4304116049
314	0.4292281153
315	0.4285810188
316	0.4279169258
317	0.4266268836
318	0.4259706408
319	0.4253713543
320	0.4244243223
321	0.4235069584
322	0.4222497714
323	0.4216795186
324	0.4209876179
325	0.4202530088
326	0.4198318163
327	0.4193599912
328	0.4189916269
329	0.4183658726
330	0.4178710524
331	0.4174742612
332	0.4166479879
333	0.4161738882
334	0.4157071481
335	0.4152728549
336	0.4143302766
337	0.4139401251
338	0.4134816835
339	0.4131440154
340	0.4125993944
341	0.4123689989
342	0.4114631418
343	0.4111180885
344	0.4107334475
345	0.4103805689
346	0.4100042283
347	0.4096448467
348	0.409336666
349	0.408530659
350	0.4080921688
351	0.4077176888
352	0.4071783505
353	0.4063079847
354	0.4056919628
355	0.4044131656
356	0.4039545723
357	0.4030138513
358	0.4022989356
359	0.4015428476
360	0.4014208406
361	0.4009640619
362	0.4006213592
363	0.4001258168
364	0.3993615808
365	0.3990556494
366	0.3981123306
367	0.3974740931
368	0.3968455901
369	0.3962942334
370	0.3956076662
371	0.3949957178
372	0.3940982209
373	0.3937417088
374	0.3930900116
375	0.3926391158
376	0.3920582251
377	0.3917517072
378	0.3913182652
379	0.3910803283
380	0.3908705932
381	0.3904530228
382	0.389736792
383	0.3894492173
384	0.3890407526
385	0.3886569047
386	0.3881531104
387	0.3877382082
388	0.3873802063
389	0.3867373478
390	0.386171668
391	0.3855894247
392	0.3852919056
