iter	Passed	Remaining
0	2	2241
1	3	1926
2	5	1961
3	7	1960
4	9	1975
5	11	1959
6	13	1971
7	15	1971
8	17	1975
9	19	1979
10	22	2001
11	24	2009
12	26	2005
13	28	2011
14	30	2019
15	32	2026
16	35	2037
17	37	2048
18	39	2059
19	41	2051
20	44	2051
21	46	2045
22	48	2041
23	50	2041
24	52	2036
25	54	2030
26	56	2024
27	58	2015
28	60	2011
29	62	2009
30	64	2009
31	66	2009
32	68	2010
33	70	2009
34	72	2007
35	74	2004
36	76	1997
37	78	1996
38	80	1991
39	82	1988
40	84	1986
41	86	1981
42	88	1976
43	90	1972
44	92	1969
45	94	1969
46	96	1965
47	99	1965
48	101	1964
49	103	1961
50	105	1957
51	107	1955
52	109	1951
53	111	1951
54	113	1948
55	115	1946
56	117	1945
57	119	1948
58	121	1944
59	124	1943
60	126	1940
61	128	1938
62	129	1932
63	131	1927
64	133	1927
65	135	1922
66	137	1919
67	139	1916
68	141	1912
69	143	1912
70	145	1908
71	147	1904
72	149	1901
73	151	1898
74	153	1897
75	155	1894
76	157	1892
77	159	1890
78	161	1887
79	164	1886
80	166	1884
81	168	1882
82	170	1878
83	171	1873
84	173	1867
85	175	1867
86	177	1864
87	179	1864
88	181	1861
89	183	1858
90	185	1857
91	188	1855
92	190	1853
93	192	1851
94	193	1847
95	195	1845
96	198	1843
97	199	1839
98	202	1838
99	204	1836
100	206	1834
101	208	1833
102	210	1832
103	212	1831
104	214	1828
105	216	1827
106	218	1826
107	220	1824
108	222	1822
109	225	1820
110	226	1817
111	228	1815
112	231	1814
113	233	1811
114	235	1809
115	237	1806
116	239	1805
117	241	1804
118	243	1803
119	245	1800
120	247	1798
121	249	1797
122	251	1795
123	253	1793
124	255	1791
125	258	1789
126	260	1787
127	261	1784
128	263	1780
129	265	1776
130	267	1772
131	269	1769
132	271	1769
133	273	1766
134	275	1764
135	277	1761
136	279	1757
137	280	1754
138	282	1749
139	284	1747
140	286	1745
141	288	1743
142	290	1741
143	292	1740
144	294	1738
145	296	1736
146	299	1735
147	301	1734
148	303	1731
149	305	1730
150	307	1729
151	309	1728
152	311	1726
153	313	1724
154	316	1723
155	318	1721
156	320	1719
157	322	1717
158	324	1714
159	326	1713
160	328	1711
161	330	1709
162	332	1708
163	334	1706
164	336	1704
165	338	1702
166	341	1702
167	343	1700
168	345	1698
169	347	1696
170	349	1693
171	351	1692
172	353	1690
173	355	1687
174	357	1685
175	359	1684
176	361	1682
177	364	1680
178	365	1678
179	368	1676
180	370	1675
181	372	1673
182	374	1671
183	376	1669
184	378	1666
185	380	1664
186	382	1661
187	384	1660
188	386	1657
189	388	1654
190	390	1652
191	392	1651
192	394	1649
193	396	1647
194	398	1645
195	400	1643
196	402	1640
197	404	1638
198	406	1636
199	408	1634
200	410	1632
201	412	1631
202	415	1629
203	417	1627
204	418	1624
205	421	1623
206	423	1621
207	425	1619
208	427	1617
209	429	1615
210	431	1613
211	433	1610
212	434	1606
213	436	1604
214	439	1603
215	440	1600
216	442	1597
217	444	1594
218	446	1593
219	448	1591
220	450	1588
221	452	1586
