iter	Passed	Remaining
0	901	901044
1	904	451583
2	908	301796
3	909	226484
4	912	181586
5	916	151875
6	919	130501
7	922	114359
8	923	101724
9	924	91566
10	926	83298
11	928	76471
12	931	70694
13	932	65695
14	933	61324
15	935	57530
16	937	54181
17	938	51205
18	940	48541
19	941	46109
20	944	44015
21	945	42050
22	947	40248
23	948	38564
24	949	37045
25	951	35643
26	953	34347
27	954	33141
28	960	32150
29	961	31082
30	963	30110
31	966	29246
32	969	28413
33	971	27603
34	974	26870
35	975	26127
36	976	25418
37	977	24757
38	979	24123
39	983	23604
40	987	23092
41	989	22567
42	991	22077
43	994	21602
44	995	21132
45	996	20676
46	998	20248
47	999	19833
48	1002	19449
49	1003	19067
50	1004	18698
51	1006	18343
52	1007	18001
53	1008	17674
54	1010	17357
55	1011	17050
56	1012	16756
57	1014	16470
58	1016	16217
59	1018	15958
60	1019	15700
61	1021	15450
62	1022	15208
63	1023	14973
64	1033	14866
65	1034	14645
66	1036	14429
67	1037	14214
68	1038	14010
69	1039	13813
70	1040	13620
71	1042	13433
72	1043	13251
73	1044	13070
74	1047	12916
75	1048	12748
76	1049	12577
77	1050	12418
78	1051	12262
79	1053	12110
80	1054	11963
81	1055	11811
82	1056	11670
83	1057	11533
84	1058	11399
85	1061	11277
86	1066	11192
87	1068	11068
88	1069	10946
89	1071	10835
90	1072	10717
91	1073	10597
92	1078	10519
93	1080	10412
94	1082	10315
95	1084	10216
96	1086	10113
97	1087	10011
98	1090	9928
99	1091	9825
100	1093	9735
101	1095	9641
102	1096	9544
103	1097	9453
104	1098	9361
105	1098	9268
106	1100	9181
107	1101	9097
108	1102	9014
109	1105	8940
110	1107	8870
111	1108	8792
112	1110	8714
113	1111	8638
114	1112	8563
115	1113	8489
116	1115	8416
117	1116	8345
118	1118	8276
119	1120	8214
120	1122	8151
121	1123	8084
122	1124	8018
123	1125	7954
124	1127	7890
125	1128	7827
126	1129	7765
127	1131	7704
128	1132	7645
129	1132	7580
130	1134	7526
131	1136	7473
132	1137	7413
133	1138	7358
134	1139	7304
135	1141	7250
136	1142	7197
137	1143	7144
138	1145	7093
139	1146	7042
140	1148	6996
141	1150	6952
142	1152	6905
143	1153	6857
144	1153	6804
145	1155	6760
146	1157	6717
147	1159	6674
148	1159	6625
149	1161	6584
150	1164	6549
151	1166	6509
152	1169	6474
153	1170	6432
154	1172	6392
155	1173	6350
156	1175	6309
157	1176	6269
158	1178	6231
159	1180	6198
160	1182	6162
161	1183	6123
162	1185	6085
163	1186	6045
164	1187	6008
165	1187	5968
166	1189	5932
167	1190	5896
168	1192	5863
169	1195	5835
170	1197	5803
171	1198	5768
172	1199	5734
173	1200	5701
174	1202	5667
175	1203	5634
176	1204	5602
177	1206	5569
178	1207	5539
179	1210	5516
180	1212	5487
181	1214	5456
182	1214	5423
183	1216	5393
184	1217	5363
185	1218	5333
186	1220	5304
187	1221	5275
188	1223	5250
189	1226	5227
190	1227	5200
191	1229	5172
192	1229	5140
193	1230	5113
194	1232	5086
195	1233	5059
196	1234	5032
197	1235	5006
198	1238	4983
199	1240	4961
200	1241	4936
201	1243	4910
202	1244	4885
203	1245	4860
204	1247	4836
205	1248	4811
206	1249	4787
207	1250	4763
208	1252	4740
209	1255	4721
210	1256	4698
211	1257	4675
212	1259	4652
213	1260	4629
214	1261	4606
215	1262	4584
216	1264	4561
217	1265	4539
218	1266	4516
219	1267	4494
220	1270	4477
221	1271	4455
222	1272	4433
223	1273	4412
224	1274	4391
225	1276	4370
226	1277	4349
227	1278	4329
228	1279	4309
229	1281	4289
230	1282	4269
231	1284	4253
232	1286	4235
233	1287	4215
234	1289	4196
235	1290	4177
236	1291	4158
237	1292	4139
238	1294	4120
239	1295	4102
240	1296	4083
241	1297	4065
242	1301	4053
243	1303	4037
244	1304	4020
245	1306	4003
246	1307	3985
247	1308	3968
248	1309	3950
249	1311	3933
250	1312	3915
251	1313	3897
252	1315	3884
253	1317	3868
254	1318	3851
255	1319	3834
256	1320	3818
257	1322	3802
258	1323	3786
259	1324	3770
260	1326	3757
261	1332	3753
262	1367	3833
263	1369	3819
264	1371	3804
265	1373	3790
266	1375	3776
267	1377	3762
268	1379	3748
269	1381	3734
270	1383	3720
271	1384	3706
272	1386	3692
273	1388	3679
274	1390	3665
275	1392	3652
276	1394	3639
277	1396	3625
278	1398	3614
279	1400	3600
280	1402	3587
281	1404	3574
282	1405	3562
283	1408	3550
284	1410	3537
285	1411	3524
286	1414	3513
287	1416	3501
288	1418	3488
289	1419	3476
290	1422	3465
291	1424	3453
292	1425	3440
293	1427	3427
294	1429	3415
295	1439	3422
296	1442	3414
297	1444	3402
298	1446	3390
299	1447	3378
300	1449	3365
301	1451	3353
302	1457	3351
303	1459	3340
304	1461	3329
305	1463	3318
306	1464	3306
307	1466	3295
308	1469	3287
309	1471	3276
310	1473	3264
311	1475	3253
312	1477	3242
313	1479	3232
314	1484	3227
315	1486	3217
316	1488	3206
317	1489	3195
318	1491	3184
319	1493	3174
320	1499	3172
321	1501	3162
322	1503	3151
323	1505	3141
324	1507	3130
325	1512	3127
326	1515	3118
327	1516	3107
328	1518	3097
329	1520	3087
330	1522	3077
331	1529	3076
332	1530	3066
333	1533	3057
334	1535	3047
335	1537	3038
336	1539	3028
337	1582	3099
338	1584	3089
339	1586	3079
340	1588	3068
341	1590	3059
342	1593	3051
343	1595	3041
344	1596	3031
345	1598	3022
346	1600	3012
347	1602	3002
348	1607	2997
349	1609	2988
